model,year,price,transmission,mileage,tax,mpg,engineSize,fuelType_Diesel,fuelType_Hybrid,fuelType_Petrol,log_price
0,2017,12500,1,15735,150,55.4,1.4,False,False,True,9.433563920090563
5,2016,16500,0,36203,20,64.2,2.0,True,False,False,9.711176264112805
0,2016,11000,1,29946,30,55.4,1.4,False,False,True,9.305741456739435
3,2017,16800,0,25952,145,67.3,2.0,True,False,False,9.729193687429403
2,2019,17300,1,1998,145,49.6,1.0,False,False,True,9.758519582283522
0,2016,13900,0,32260,30,58.9,1.4,False,False,True,9.539716058977092
5,2016,13250,0,76788,30,61.4,2.0,True,False,False,9.491828300264636
3,2016,11750,1,75185,20,70.6,2.0,True,False,False,9.371693622333941
2,2015,10200,1,46112,20,60.1,1.4,False,False,True,9.23024103368252
0,2016,12000,1,22451,30,55.4,1.4,False,False,True,9.392745258631441
2,2017,16100,1,28955,145,58.9,1.4,False,False,True,9.686636660844938
5,2016,16500,0,52198,125,57.6,2.0,True,False,False,9.711176264112805
9,2016,17000,1,44915,145,52.3,2.0,True,False,False,9.741027444837728
2,2017,16400,1,21695,30,58.9,1.4,False,False,True,9.70509758756311
5,2015,15400,1,47348,30,61.4,2.0,True,False,False,9.642187721358466
2,2017,14500,0,26156,145,58.9,1.4,False,False,True,9.581972891547895
9,2016,15700,0,28396,145,53.3,2.0,True,False,False,9.661479683575521
2,2014,13900,0,30516,30,56.5,1.4,False,False,True,9.539716058977092
10,2016,19000,0,37652,200,47.1,2.0,True,False,False,9.852246888342531
9,2014,17000,1,34110,145,47.9,1.4,False,False,True,9.741027444837728
4,2017,17300,0,37100,145,67.3,2.0,True,False,False,9.758519582283522
10,2016,20200,0,23714,200,47.1,2.0,True,False,False,9.913487387114461
4,2017,22500,0,21649,145,58.9,3.0,True,False,False,10.021315031649332
5,2015,17500,0,62748,150,53.3,3.0,True,False,False,9.770013301136158
10,2016,20000,0,23789,200,47.1,2.0,True,False,False,9.90353755128617
3,2017,18500,0,17418,145,62.8,2.0,True,False,False,9.825580063659602
4,2017,19500,0,33300,145,61.4,2.0,True,False,False,9.87822102528824
0,2018,15800,1,10793,145,56.5,1.4,False,False,True,9.6678285081515
3,2018,17200,0,25138,145,70.6,2.0,True,False,False,9.75272280064639
5,2015,14000,1,61176,30,62.8,2.0,True,False,False,9.546884034617925
0,2015,9500,0,54754,0,76.3,1.6,True,False,False,9.15915233520675
9,2017,16500,1,21369,125,51.4,1.4,False,False,True,9.711176264112805
9,2014,15000,0,39190,205,47.9,2.0,True,False,False,9.61587214452889
9,2017,16000,0,47482,150,47.9,1.4,False,False,True,9.680406499268875
9,2016,16900,0,40501,150,51.4,2.0,True,False,False,9.735128070758227
9,2014,12300,0,43195,200,47.9,2.0,True,False,False,9.417435838868785
0,2017,10800,1,31447,145,67.3,1.0,False,False,True,9.287394001418473
5,2016,19400,0,34030,125,58.9,2.0,True,False,False,9.873079890114703
3,2017,16000,1,29063,145,70.6,2.0,True,False,False,9.680406499268875
2,2017,17100,1,29545,145,65.7,2.0,True,False,False,9.746892220313054
2,2015,11300,1,75619,20,68.9,2.0,True,False,False,9.332646496360152
9,2016,17200,0,39603,160,50.4,2.0,True,False,False,9.75272280064639
9,2017,20300,0,42908,145,51.4,2.0,True,False,False,9.918425424900335
4,2014,13200,0,83872,125,58.9,2.0,True,False,False,9.488047863280759
9,2016,15200,0,58750,145,47.9,1.4,False,False,True,9.62911649414402
2,2019,15700,1,2029,145,49.6,1.0,False,False,True,9.661479683575521
5,2018,16600,0,22958,145,50.4,1.8,False,False,True,9.717218213494077
3,2017,14400,0,32097,145,72.4,2.0,True,False,False,9.575052927597383
4,2017,20200,0,13057,145,53.3,2.0,False,False,True,9.913487387114461
20,2017,23700,0,20278,145,38.7,3.0,False,False,True,10.073272520325904
3,2016,12750,1,52561,0,74.3,2.0,True,False,False,9.453364978883542
5,2015,13000,0,31604,20,67.3,2.0,True,False,False,9.472781556562168
9,2016,15900,1,32011,145,49.6,1.4,False,False,True,9.674137279312397
9,2016,15000,1,39134,30,60.1,2.0,True,False,False,9.61587214452889
10,2015,14700,0,89483,205,47.1,2.0,True,False,False,9.595670797663967
2,2015,15000,0,56291,200,42.8,1.8,False,False,True,9.61587214452889
5,2016,16000,0,47767,20,61.4,2.0,True,False,False,9.680406499268875
0,2014,11000,1,34315,125,53.3,1.4,False,False,True,9.305741456739435
2,2016,10200,1,66369,0,83.1,1.6,True,False,False,9.23024103368252
5,2016,18500,1,34110,30,61.4,2.0,True,False,False,9.825580063659602
0,2013,7000,1,76269,0,74.3,1.6,True,False,False,8.853808274977197
2,2016,10600,1,37840,20,70.6,1.6,True,False,False,9.268703615273097
2,2017,16000,1,26249,30,67.3,1.6,True,False,False,9.680406499268875
9,2017,15000,1,44898,125,57.7,2.0,True,False,False,9.61587214452889
9,2017,14000,1,67161,150,51.4,1.4,False,False,True,9.546884034617925
2,2018,18950,1,17992,150,54.3,1.5,False,False,True,9.84961197956681
3,2016,10200,1,97440,20,70.6,2.0,True,False,False,9.23024103368252
0,2017,11700,1,19268,150,67.3,1.0,False,False,True,9.367429587218957
2,2013,11500,0,51441,125,50.4,1.8,False,False,True,9.350189267092581
0,2016,10800,1,18181,0,67.3,1.0,False,False,True,9.287394001418473
2,2016,12500,1,19494,30,67.3,2.0,True,False,False,9.433563920090563
5,2016,16600,1,32808,30,61.4,2.0,True,False,False,9.717218213494077
2,2017,13100,1,25965,145,65.7,2.0,True,False,False,9.48044384215367
2,2016,8300,1,88215,20,68.9,2.0,True,False,False,9.024131268455035
2,2019,16000,1,5704,145,49.6,1.0,False,False,True,9.680406499268875
3,2017,16900,1,10959,145,51.4,1.4,False,False,True,9.735128070758227
10,2016,19600,0,30201,200,47.1,2.0,True,False,False,9.883335864325275
9,2017,21800,0,19319,145,40.4,2.0,False,False,True,9.989711119284745
5,2017,16200,1,22582,145,61.4,2.0,True,False,False,9.692828247710418
4,2017,18700,1,20052,145,49.6,2.0,False,False,True,9.83633227734872
9,2016,16100,1,16666,30,60.1,2.0,True,False,False,9.686636660844938
2,2016,11300,1,25626,0,74.3,1.6,True,False,False,9.332646496360152
2,2016,14100,1,10460,20,60.1,1.4,False,False,True,9.55400099583723
5,2016,16600,0,43307,125,57.6,2.0,True,False,False,9.717218213494077
0,2017,11300,1,29327,30,55.4,1.4,False,False,True,9.332646496360152
9,2017,15600,1,36714,125,51.4,1.4,False,False,True,9.65509029374725
0,2014,10000,1,28324,125,53.3,1.4,False,False,True,9.210440366976517
0,2016,14500,1,12100,30,56.5,1.4,False,False,True,9.581972891547895
9,2017,16100,1,18001,145,62.8,2.0,True,False,False,9.686636660844938
0,2016,10600,1,28760,30,55.4,1.4,False,False,True,9.268703615273097
2,2019,25499,2,4000,145,44.1,1.5,False,False,True,10.146433731146518
8,2019,25499,2,7897,145,47.9,2.0,True,False,False,10.146433731146518
5,2016,15500,0,24744,125,56.5,3.0,True,False,False,9.648659816955295
9,2015,16200,0,30075,160,51.4,2.0,True,False,False,9.692828247710418
0,2017,14000,1,12577,30,58.9,1.4,False,False,True,9.546884034617925
5,2016,17300,0,24421,30,61.4,2.0,True,False,False,9.758519582283522
0,2016,10600,1,15567,0,76.3,1.6,True,False,False,9.268703615273097
3,2018,17500,1,15207,145,51.4,1.4,False,False,True,9.770013301136158
3,2017,15000,1,14864,145,52.3,1.4,False,False,True,9.61587214452889
3,2019,25499,2,9000,145,38.7,2.0,False,False,True,10.146433731146518
3,2019,25000,1,5000,145,38.7,2.0,False,False,True,10.12667110305036
8,2019,31000,2,4264,145,33.2,2.0,False,False,True,10.34177474101152
9,2019,28000,1,4000,145,42.8,2.0,True,False,False,10.239995502805316
9,2019,28000,1,4000,145,42.2,1.5,False,False,True,10.239995502805316
8,2019,21499,1,2721,145,49.6,1.6,True,False,False,9.975808214115753
8,2019,26000,2,4000,145,42.2,1.5,False,False,True,10.165890277802454
10,2016,30000,2,49649,235,42.2,3.0,True,False,False,10.308985993422082
3,2017,17000,1,14068,145,51.4,1.4,False,False,True,9.741027444837728
3,2017,14500,1,23092,145,52.3,1.4,False,False,True,9.581972891547895
9,2017,17500,0,30682,160,50.4,2.0,True,False,False,9.770013301136158
0,2016,10500,1,18272,0,67.3,1.0,False,False,True,9.259225769705994
8,2017,14800,0,23714,145,68.9,1.6,True,False,False,9.60245002503719
5,2016,12000,0,71311,30,61.4,2.0,True,False,False,9.392745258631441
5,2018,22000,0,29477,145,61.4,2.0,True,False,False,9.99884318585288
10,2016,17800,0,60551,200,47.1,2.0,True,False,False,9.787009914477434
5,2017,19800,0,42071,30,61.4,2.0,True,False,False,9.893487720457795
6,2014,19500,0,55774,235,44.8,3.0,True,False,False,9.87822102528824
0,2016,9800,1,36462,0,76.3,1.6,True,False,False,9.19023970026918
2,2016,15500,1,25376,30,57.6,1.4,False,False,True,9.648659816955295
3,2017,16800,0,39388,145,67.3,2.0,True,False,False,9.729193687429403
2,2017,11500,1,64207,20,67.3,2.0,True,False,False,9.350189267092581
0,2017,12100,1,49221,145,55.4,1.4,False,False,True,9.401043372798053
0,2017,12700,1,27179,0,76.3,1.6,True,False,False,9.44943600950432
3,2014,11700,1,31376,125,58.9,2.0,True,False,False,9.367429587218957
4,2015,11500,0,62668,145,53.3,2.0,True,False,False,9.350189267092581
3,2017,17400,1,10001,145,51.4,1.4,False,False,True,9.76428295481558
5,2016,16000,0,52544,30,61.4,2.0,True,False,False,9.680406499268875
3,2016,13100,1,63097,125,49.6,2.0,False,False,True,9.48044384215367
5,2016,14700,1,72967,30,61.4,2.0,True,False,False,9.595670797663967
4,2017,21100,0,32771,145,70.6,2.0,True,False,False,9.957075711706057
9,2018,24400,0,13303,145,40.4,2.0,False,False,True,10.102379394048045
2,2019,18750,1,2752,145,44.8,1.5,False,False,True,9.839002363309719
9,2016,16500,1,23307,160,49.6,2.0,True,False,False,9.711176264112805
0,2017,11000,1,34551,150,67.3,1.0,False,False,True,9.305741456739435
2,2017,13400,1,25457,150,68.9,1.6,True,False,False,9.503084610020228
8,2018,20000,1,12167,150,50.4,1.4,False,False,True,9.90353755128617
5,2015,15400,0,23237,20,67.3,2.0,True,False,False,9.642187721358466
9,2016,15500,0,11863,160,50.4,2.0,True,False,False,9.648659816955295
3,2017,14800,1,21225,145,72.4,2.0,True,False,False,9.60245002503719
5,2015,17100,0,32083,30,61.4,2.0,True,False,False,9.746892220313054
10,2017,25750,0,17039,145,55.4,2.0,True,False,False,10.156228740289281
3,2016,11750,1,72026,0,74.3,2.0,True,False,False,9.371693622333941
0,2017,11200,1,34824,0,67.3,1.0,False,False,True,9.32375833901174
0,2017,12800,1,20351,30,55.4,1.4,False,False,True,9.45727857185611
3,2017,16000,0,58028,145,52.3,2.0,False,False,True,9.680406499268875
4,2017,20000,0,44783,145,62.8,2.0,True,False,False,9.90353755128617
3,2014,11950,1,60604,20,67.3,2.0,True,False,False,9.388570235866881
3,2013,9400,1,39998,30,65.7,2.0,True,False,False,9.148571345578551
3,2017,20000,0,20852,30,65.7,2.0,True,False,False,9.90353755128617
5,2016,13300,1,79728,30,64.2,2.0,True,False,False,9.495594499353297
5,2017,18500,0,29095,20,64.2,2.0,True,False,False,9.825580063659602
2,2013,8300,1,98940,0,74.3,1.6,True,False,False,9.024131268455035
0,2016,13500,1,22780,30,58.9,1.4,False,False,True,9.510519035757246
4,2018,19800,1,20832,150,47.1,2.0,False,False,True,9.893487720457795
9,2016,15400,0,29196,145,55.4,2.0,True,False,False,9.642187721358466
3,2017,13900,1,14392,145,53.3,1.4,False,False,True,9.539716058977092
3,2018,15600,1,20070,145,52.3,1.4,False,False,True,9.65509029374725
5,2016,16200,0,89334,30,62.8,3.0,True,False,False,9.692828247710418
0,2016,10600,1,21428,0,67.3,1.0,False,False,True,9.268703615273097
3,2016,14300,1,45485,20,70.6,2.0,True,False,False,9.568084743872936
9,2016,14700,1,32704,30,60.1,2.0,True,False,False,9.595670797663967
9,2018,19100,0,42209,145,42.2,2.0,False,False,True,9.857495968685136
3,2017,18100,1,17278,145,48.7,1.4,False,False,True,9.803722464346553
0,2017,11400,1,29515,0,67.3,1.0,False,False,True,9.34145634983372
2,2014,11600,1,43662,20,67.3,2.0,True,False,False,9.358846580275406
3,2017,17300,0,45225,145,62.8,2.0,True,False,False,9.758519582283522
5,2017,16400,1,45491,30,61.4,2.0,True,False,False,9.70509758756311
10,2014,17100,1,52267,235,37.7,2.0,False,False,True,9.746892220313054
2,2014,11498,2,40807,125,50.4,1.8,False,False,True,9.350015354048665
9,2014,11698,1,65959,160,49.6,2.0,True,False,False,9.367258647047601
10,2014,18998,2,47648,260,35.8,2.0,False,False,True,9.85214162518454
10,2017,25498,2,27948,145,40.9,2.0,False,False,True,10.146394514691288
3,2013,10498,1,31169,145,49.6,1.8,False,False,True,9.259035293514941
3,2013,9498,0,42011,145,47.1,2.0,False,False,True,9.158941808890182
5,2015,19998,2,56115,160,50.4,3.0,True,False,False,9.903437551286085
5,2015,16798,2,65835,125,61.4,2.0,True,False,False,9.729074639810214
5,2017,23998,2,63383,145,45.6,3.0,True,False,False,10.085767441795337
10,2017,36998,2,34011,145,34.0,3.0,False,False,True,10.518646164234097
4,2014,13998,2,52132,160,49.6,3.0,True,False,False,9.546741177474825
3,2015,15995,1,38787,145,55.4,2.0,True,False,False,9.680093969966709
0,2017,13495,1,34554,150,55.4,1.4,False,False,True,9.510148624225804
10,2017,30985,2,17502,145,40.4,2.0,False,False,True,10.341290768556236
25,2019,29485,0,3000,145,40.9,2.0,False,False,True,10.291670853409766
5,2015,16985,1,34646,30,61.4,2.0,True,False,False,9.740144754339955
10,2017,26485,2,18000,150,56.5,2.0,True,False,False,10.18437157048691
9,2018,23985,2,17085,150,47.9,1.4,False,False,True,10.085225605791667
0,2017,12485,1,48166,20,72.4,1.6,True,False,False,9.43236329562169
10,2015,22485,2,38421,205,47.1,2.0,True,False,False,10.020648172309706
4,2015,16498,1,46637,30,61.4,2.0,True,False,False,9.711055051991444
2,2016,11998,1,24468,0,74.3,1.6,True,False,False,9.392578591964389
10,2017,24985,0,29343,200,47.1,2.0,True,False,False,10.126070946991774
2,2019,17985,1,8449,145,51.4,1.6,True,False,False,9.79734895647446
4,2017,20485,1,34679,30,65.7,2.0,True,False,False,9.92749700499648
2,2018,16985,2,23860,145,60.1,1.0,False,False,True,9.740144754339955
